Num_Processors	Time_taken
1	0.002340
2	0.001690
3	0.001357
4	0.001296
5	0.160008
6	0.253854
7	0.313078
8	0.296020
9	0.612558
10	0.572160
11	0.712013
12	0.780448
13	0.960061
14	1.207999
15	0.989110
16	1.267989
17	1.812010
18	1.954906
19	1.936008
20	1.972762
21	2.184023
22	2.235993
23	2.583996
24	2.810424
25	3.220005
26	3.516768
27	4.685465
28	4.176755
29	4.899998
30	5.259997
31	5.827997
32	5.164007
33	6.628006
34	6.816003
35	7.576005
36	7.876013
37	8.756002
38	9.112004
39	9.540008
40	9.404475
41	10.571991
42	10.959999
43	12.336019
44	11.400008
45	13.728009
46	14.231995
47	14.680010
48	13.476006
49	14.879992
50	15.431991
